koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
CANDIDATE,0.858,0,0,0,0,59.4037839,0.000849,-0.000849,159.80356,0.00994,-0.00994,0.94,0.016,-0.661,10.041,0.276,-0.276,124.0,8.2,-8.2,1.65,0.44,-0.37,570.0,24.93,19.91,-11.98,17.0,1.0,6373.0,179.0,-247.0,4.256,0.204,-0.167,1.209,0.325,-0.266,287.04688,38.231617,11.679
FALSE POSITIVE,0.0,1,0,1,0,1.302061421,2.57e-06,-2.57e-06,132.56436,0.0016,-0.0016,1.273,9.841,-0.08,1.8238,0.0974,-0.0974,1050.0,45.1,-45.1,92.86,12.6,-37.8,3345.0,29636.26,12903.33,-20804.62,29.5,1.0,7757.0,211.0,-316.0,3.837,0.344,-0.108,2.783,0.377,-1.132,294.96756,43.277409,13.095
CANDIDATE,0.944,0,0,0,0,4.5620407,1.62e-05,-1.62e-05,132.64295,0.00308,-0.00308,0.925,0.002,-0.648,2.8521,0.079,-0.079,81.6,4.0,-4.0,2.82,0.53,-0.98,1533.0,1306.97,653.71,-780.17,22.8,1.0,5343.0,85.0,-74.0,3.764,0.238,-0.102,2.506,0.468,-0.87,297.65143,40.352551,13.052
CANDIDATE,0.999,0,0,0,0,63.095068,0.00226,-0.00226,158.1168,0.0266,-0.0266,1.05,6.957,-0.203,9.485,0.92,-0.92,497.0,52.4,-52.4,11.67,3.53,-1.52,573.0,25.4,22.02,-9.17,11.4,1.0,6622.0,160.0,-275.0,4.331,0.065,-0.195,1.325,0.401,-0.172,291.72189,42.117298,15.765
CONFIRMED,0.998,0,0,0,0,2.44358543,1.45e-05,-1.45e-05,132.80194,0.0048,-0.0048,0.258,0.19,-0.258,1.852,0.142,-0.142,59.1,6.1,-6.1,0.67,0.07,-0.05,1249.0,574.37,196.22,-121.6,11.9,1.0,5561.0,111.0,-111.0,4.486,0.072,-0.08,0.873,0.099,-0.066,284.45947,40.142559,13.348
CONFIRMED,0.958,0,0,0,0,225.585245,0.00358,-0.00358,272.79566,0.00914,-0.00914,0.066,0.381,-0.066,11.166,0.382,-0.382,755.0,46.5,-46.5,3.71,0.64,-0.58,348.0,3.48,1.57,-1.12,18.6,1.0,5929.0,77.0,-77.0,4.243,0.138,-0.112,1.363,0.236,-0.212,287.76456,38.294701,14.9
FALSE POSITIVE,0.0,0,0,1,1,0.93374635,1.44e-05,-1.44e-05,131.5163,0.0147,-0.0147,0.096,0.394,-0.096,3.074,0.692,-0.692,34.3,7.2,-7.2,0.63,0.18,-0.11,1895.0,3029.67,2555.63,-1191.78,7.3,1.0,5593.0,166.0,-166.0,4.349,0.144,-0.192,1.094,0.307,-0.189,292.12784,47.614342,14.901
FALSE POSITIVE,0.0,0,1,0,0,19.51501329,5.38e-06,-5.38e-06,136.215942,0.000307,-0.000307,0.692,0.029,-0.031,4.59379,0.00625,-0.00625,256000.0,308.0,-308.0,53.03,9.97,-4.61,588.0,28.31,17.47,-7.81,1018.8,1.0,5349.0,185.0,-185.0,4.531,0.045,-0.135,0.851,0.16,-0.074,283.91565,47.784569,16.739
CONFIRMED,1.0,0,0,0,0,6.66833241,3.45e-05,-3.45e-05,137.43988,0.00405,-0.00405,0.644,0.306,-0.445,1.915,0.132,-0.132,362.0,30.1,-30.1,1.18,0.21,-0.22,587.0,28.06,43.45,-15.76,14.2,2.0,4201.0,676.0,-416.0,4.682,0.088,-0.072,0.591,0.109,-0.109,295.57935,44.545959,15.058
FALSE POSITIVE,0.0,0,0,1,1,0.817026268,4.35e-07,-4.35e-07,132.835239,0.000458,-0.000458,0.01,0.279,-0.01,2.0799,0.0156,-0.0156,1150.0,10.8,-10.8,2.92,0.83,-0.26,1784.0,2386.13,2041.12,-634.48,121.1,1.0,5619.0,169.0,-169.0,4.536,0.035,-0.196,0.874,0.248,-0.078,296.38229,48.045311,15.488
