koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,1.0,0,1,0,0,20.55848388,4.57e-05,-4.57e-05,133.00401,0.00189,-0.00189,1.334,70.53,-3.741,1.449,0.106,-0.106,677.0,40.0,-40.0,36.9,4.89,-2.09,624.0,35.76,12.61,-5.79,20.8,1.0,5578.0,75.0,-83.0,4.484,0.04,-0.112,0.936,0.124,-0.053,291.41833,42.579819,14.792
FALSE POSITIVE,0.0,0,1,0,0,34.82008158,1.24e-05,-1.24e-05,163.015559,0.000291,-0.000291,0.663,0.006,-0.003,11.1711,0.0216,-0.0216,18800.0,25.8,-25.8,11.36,1.16,-1.16,459.0,10.49,3.84,-2.91,882.6,1.0,5114.0,153.0,-138.0,4.522,0.084,-0.063,0.784,0.08,-0.08,286.86926,39.103729,15.187
CONFIRMED,0.931,0,0,0,0,7.44136102,6.69e-05,-6.69e-05,137.74695,0.00672,-0.00672,0.862,0.062,-0.632,4.554,0.217,-0.217,79.7,6.4,-6.4,1.33,0.21,-0.22,1075.0,315.02,130.96,-105.29,14.2,2.0,5937.0,71.0,-79.0,4.251,0.137,-0.112,1.291,0.209,-0.209,284.56567,41.778481,13.701
FALSE POSITIVE,0.0,0,1,0,0,10.81589054,3.32e-07,-3.32e-07,139.7935811,2.55e-05,-2.55e-05,0.219,0.068,-0.048,4.73495,0.00302,-0.00302,45400.0,13.1,-13.1,32.48,6.87,-8.4,1086.0,328.64,208.24,-166.81,4313.4,1.0,6269.0,170.0,-170.0,4.109,0.228,-0.123,1.508,0.319,-0.39,293.83826,42.122211,12.96
FALSE POSITIVE,0.0,0,1,0,0,1.634614356,4.44e-07,-4.44e-07,133.96855,0.000224,-0.000224,1.229,0.062,-0.054,3.4422,0.0153,-0.0153,19800.0,66.0,-66.0,44.22,14.4,-4.79,1611.0,1597.73,1577.83,-494.27,376.5,1.0,6121.0,191.0,-212.0,4.468,0.054,-0.216,0.97,0.316,-0.105,294.88181,39.161072,15.31
FALSE POSITIVE,0.0,0,1,0,0,1.018360336,1.49e-06,-1.49e-06,131.67768,0.00182,-0.00182,0.553,0.035,-0.025,7.622,0.0215,-0.0215,394000.0,540.0,-540.0,107.0,30.7,-30.6,2302.0,6627.64,5961.03,-3742.84,967.4,1.0,6160.0,216.0,-237.0,4.144,0.273,-0.168,1.463,0.419,-0.419,292.1795,39.238621,14.299
CONFIRMED,1.0,0,0,0,0,16.14567193,7.44e-06,-7.44e-06,134.754877,0.000394,-0.000394,0.75,0.016,-0.514,3.7236,0.025,-0.025,941.0,4.2,-4.2,2.48,0.16,-0.1,546.0,20.98,4.77,-3.16,242.7,1.0,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492
FALSE POSITIVE,0.0,0,1,0,0,302.3886782,8.6e-05,-8.6e-05,309.18675,0.000224,-0.000224,1.134,0.306,-0.132,3.1229,0.0138,-0.0138,41300.0,171.0,-171.0,40.73,3.42,-2.75,238.0,0.76,0.21,-0.15,294.8,1.0,5328.0,106.0,-106.0,4.499,0.066,-0.06,0.857,0.072,-0.058,301.70923,44.281792,14.041
FALSE POSITIVE,0.0,0,1,1,1,0.952374508,3.88e-06,-3.88e-06,132.33436,0.00364,-0.00364,0.013,0.383,-0.013,3.006,0.121,-0.121,205.0,7.7,-7.7,1.13,0.05,-0.12,1435.0,1006.13,242.59,-286.64,33.0,1.0,4754.0,143.0,-143.0,4.508,0.084,-0.036,0.821,0.041,-0.083,290.73364,48.207378,15.611
CONFIRMED,1.0,0,0,0,0,4.417692516,9.04e-06,-9.04e-06,133.96139,0.00159,-0.00159,0.971,0.043,-0.685,2.323,0.122,-0.122,279.0,9.0,-9.0,1.57,0.09,-0.06,790.0,92.16,17.36,-12.69,35.1,1.0,4766.0,77.0,-77.0,4.645,0.015,-0.039,0.664,0.037,-0.027,292.13297,41.547539,14.31
FALSE POSITIVE,0.0,0,1,0,0,2.155278342,1.01e-06,-1.01e-06,133.576109,0.000394,-0.000394,0.926,3.878,-0.081,2.1064,0.0248,-0.0248,20700.0,182.0,-182.0,16.89,3.93,-1.57,1272.0,620.67,428.23,-162.39,142.7,1.0,5665.0,152.0,-152.0,4.568,0.038,-0.152,0.82,0.191,-0.076,297.70712,42.047371,13.997
CANDIDATE,0.0,0,0,0,0,276.879492,0.00253,-0.00253,176.52152,0.00669,-0.00669,1.045,0.032,-0.735,3.779,0.315,-0.315,1760.0,184.0,-184.0,11.67,1.08,-1.42,260.0,1.08,0.3,-0.29,10.4,1.0,5324.0,85.0,-74.0,4.396,0.126,-0.063,0.966,0.089,-0.118,290.2984,40.287842,15.772
CONFIRMED,0.989,0,0,0,0,53.44944498,6.7e-05,-6.7e-05,149.20185,0.00103,-0.00103,0.092,0.27,-0.092,5.3091,0.0439,-0.0439,3440.0,33.2,-33.2,5.82,1.49,-0.5,486.0,13.23,10.07,-3.61,119.5,1.0,5919.0,162.0,-203.0,4.485,0.044,-0.187,1.0,0.257,-0.086,291.0838,40.355251,15.287
CONFIRMED,0.999,0,0,0,0,3.73090026,1.5e-05,-1.5e-05,132.89428,0.00342,-0.00342,0.822,0.017,-0.567,2.9095,0.0933,-0.0933,191.0,9.2,-9.2,1.48,0.22,-0.07,1128.0,383.51,151.11,-57.19,24.0,1.0,5709.0,77.0,-85.0,4.489,0.03,-0.12,0.95,0.142,-0.047,294.18927,45.151581,14.966
FALSE POSITIVE,0.001,0,1,0,0,1.106560721,1.32e-07,-1.32e-07,132.3745985,9.89e-05,-9.89e-05,0.531,0.187,-0.06,2.64151,0.0037,-0.0037,254000.0,468.0,-468.0,47.63,14.0,-4.37,1782.0,2382.7,2068.44,-677.61,643.6,1.0,6205.0,174.0,-217.0,4.534,0.048,-0.204,0.873,0.256,-0.08,293.10742,42.122589,15.415
CONFIRMED,1.0,0,0,0,0,14.85890852,3.81e-06,-3.81e-06,128.154869,0.000217,-0.000217,0.255,0.052,-0.225,3.5252,0.0133,-0.0133,3270.0,7.7,-7.7,5.94,0.37,-0.4,720.0,63.52,14.25,-11.28,456.8,1.0,5356.0,112.0,-72.0,4.338,0.065,-0.04,1.055,0.065,-0.072,298.07944,44.746319,13.549
CONFIRMED,1.0,0,0,0,0,2.7881793,1.85e-05,-1.85e-05,131.84558,0.00571,-0.00571,0.058,0.402,-0.058,3.397,0.139,-0.139,55.8,3.4,-3.4,1.02,0.18,-0.2,1510.0,1228.07,538.44,-496.01,17.7,1.0,5758.0,78.0,-86.0,4.168,0.182,-0.098,1.385,0.232,-0.283,294.86618,48.638981,13.71
FALSE POSITIVE,,1,0,0,0,66.247851,0.00157,-0.00157,162.2694,0.0178,-0.0178,0.2847,0.1735,-0.2846,4.04,0.547,-0.547,666.0,87.3,-87.3,16.67,5.36,-7.61,925.0,172.74,157.52,-128.86,8.3,1.0,5214.0,120.0,-193.0,3.109,0.333,-0.3,6.519,2.094,-2.976,290.85773,43.48455,13.234
CANDIDATE,0.0,0,0,0,0,9.6310258,0.000126,-0.000126,132.7273,0.0101,-0.0101,0.951,0.027,-0.65,5.255,0.241,-0.241,297.0,25.1,-25.1,2.9,0.82,-0.68,1094.0,338.33,275.21,-164.36,12.7,3.0,6432.0,155.0,-214.0,4.207,0.19,-0.171,1.345,0.382,-0.313,300.33237,44.986141,13.306
FALSE POSITIVE,0.0,0,1,0,0,6.814984472,9.4e-07,-9.4e-07,134.212391,0.00012,-0.00012,0.793,0.007,-0.004,3.05409,0.00516,-0.00516,23900.0,46.8,-46.8,14.18,3.26,-1.1,836.0,115.58,81.27,-28.44,742.2,1.0,5465.0,164.0,-164.0,4.566,0.038,-0.152,0.817,0.188,-0.063,296.66086,43.816441,15.981
CANDIDATE,,0,0,0,0,0.602277579,8.68e-06,-8.68e-06,131.5303,0.0112,-0.0112,0.7502,0.0469,-0.5325,2.38,0.548,-0.548,34.6,6.0,-6.0,0.78,0.29,-0.14,2699.0,12545.82,13176.69,-5080.38,26.7,1.0,6510.0,162.0,-196.0,4.256,0.162,-0.162,1.228,0.446,-0.221,296.32202,39.856049,12.361
CONFIRMED,0.997,0,0,0,0,39.79220077,3.01e-05,-3.01e-05,175.250558,0.000584,-0.000584,0.019,0.336,-0.019,4.466,0.0216,-0.0216,610.0,3.6,-3.6,1.9,0.08,-0.07,458.0,10.38,1.54,-1.37,179.5,1.0,5437.0,73.0,-81.0,4.571,0.02,-0.03,0.781,0.034,-0.031,284.05954,44.518215,9.705
CONFIRMED,1.0,0,0,0,0,6.99130452,1.45e-05,-1.45e-05,135.46291,0.00152,-0.00152,0.74,0.166,-0.505,2.1568,0.057,-0.057,555.0,17.8,-17.8,1.95,0.15,-0.11,716.0,62.05,18.94,-12.47,36.3,1.0,4847.0,144.0,-129.0,4.606,0.02,-0.064,0.761,0.059,-0.043,296.17728,46.99902,14.94
CONFIRMED,1.0,0,0,0,0,40.7150498,0.000138,-0.000138,146.56647,0.00279,-0.00279,0.638,0.237,-0.416,8.587,0.11,-0.11,564.0,10.6,-10.6,2.2,0.65,-0.21,516.0,16.76,14.51,-4.53,56.4,1.0,5968.0,161.0,-179.0,4.534,0.036,-0.204,0.881,0.26,-0.081,295.2887,48.59972,14.201
FALSE POSITIVE,0.0,0,1,1,1,1.540392098,2.05e-06,-2.05e-06,131.9989,0.00129,-0.00129,1.184,1.589,-0.044,3.7271,0.0623,-0.0623,1020.0,14.3,-14.3,17.63,1.51,-1.68,1210.0,506.98,164.83,-134.57,87.2,1.0,4911.0,146.0,-131.0,4.564,0.066,-0.039,0.724,0.062,-0.069,286.93588,38.924469,14.449
CANDIDATE,1.0,0,0,0,0,5.56676609,3.04e-05,-3.04e-05,132.49956,0.00452,-0.00452,0.392,0.066,-0.392,1.812,0.145,-0.145,174.0,16.2,-16.2,1.12,0.06,-0.09,859.0,128.51,21.75,-27.08,12.0,1.0,5032.0,80.0,-80.0,4.479,0.077,-0.033,0.859,0.041,-0.071,290.46756,40.056438,15.223
FALSE POSITIVE,0.0,0,1,1,1,5.93720557,1.54e-05,-1.54e-05,171.57597,0.00227,-0.00227,0.976,0.012,-0.006,4.882,0.171,-0.171,371.0,11.2,-11.2,1.84,0.32,-0.1,894.0,150.81,80.47,-30.75,59.9,1.0,5857.0,158.0,-158.0,4.633,0.032,-0.128,0.712,0.124,-0.041,289.1702,50.627621,13.799
CONFIRMED,1.0,0,0,0,0,10.91274065,1.47e-05,-1.47e-05,169.85247,0.00105,-0.00105,0.685,0.192,-0.459,2.1801,0.0445,-0.0445,1390.0,26.5,-26.5,2.13,0.12,-0.16,443.0,9.12,1.88,-2.0,57.4,3.0,3834.0,77.0,-84.0,4.708,0.045,-0.021,0.539,0.03,-0.041,292.29459,40.591789,15.264
CANDIDATE,0.956,0,0,0,0,2.90512019,1.54e-05,-1.54e-05,132.56693,0.00482,-0.00482,0.417,0.033,-0.417,2.293,0.128,-0.128,61.2,5.0,-5.0,0.57,0.07,-0.06,1075.0,314.96,124.36,-86.74,13.2,4.0,5374.0,160.0,-144.0,4.555,0.088,-0.064,0.721,0.082,-0.073,288.83136,47.551991,13.851
FALSE POSITIVE,0.0,1,0,1,1,12.4261809,0.000385,-0.000385,141.5307,0.0307,-0.0307,0.98,0.106,-0.005,29.09,2.0,-2.0,92.2,2.6,-2.6,1.88,0.51,-0.63,976.0,214.85,172.6,-130.41,39.0,1.0,5948.0,161.0,-178.0,4.106,0.35,-0.15,1.432,0.391,-0.478,297.64059,40.531952,13.219
CANDIDATE,1.0,0,0,0,0,1.63668262,1.05e-05,-1.05e-05,131.64586,0.00541,-0.00541,1.22,7.189,-0.518,1.907,0.235,-0.235,922.0,88.6,-88.6,103.99,36.4,-48.5,2562.0,10160.3,10682.43,-7631.1,12.9,1.0,5234.0,158.0,-174.0,3.436,0.402,-0.234,3.739,1.307,-1.743,300.92484,44.24968,16.494
FALSE POSITIVE,0.0,0,1,0,0,37.86511904,1.56e-05,-1.56e-05,198.599331,0.000301,-0.000301,1.28,3.224,-0.127,2.9799,0.0187,-0.0187,6940.0,37.7,-37.7,40.36,13.0,-4.03,535.0,19.31,18.11,-5.6,222.3,1.0,5858.0,156.0,-191.0,4.495,0.052,-0.208,0.963,0.309,-0.096,297.41867,46.64426,14.608
FALSE POSITIVE,0.0,1,0,0,0,0.71538172,,,131.5505,,,,,,5.0,,,,,,,,,,7377.38,14021.01,-2565.07,,1.0,,,,,,,,,,297.66974,42.08886,14.67
FALSE POSITIVE,0.003,0,1,1,0,1.219034103,5.1e-07,-5.1e-07,132.100694,0.000435,-0.000435,0.455,0.021,-0.037,2.4494,0.0209,-0.0209,95700.0,426.0,-426.0,40.46,11.0,-11.0,1977.0,3621.09,3056.32,-1945.05,319.1,1.0,5914.0,196.0,-196.0,4.217,0.246,-0.164,1.271,0.346,-0.346,299.97156,45.811932,14.371
FALSE POSITIVE,0.0,1,0,0,0,417.829033,0.00159,-0.00159,138.8786,0.0226,-0.0226,0.279,0.158,-0.279,15.05,1.0,-1.0,501.0,56.4,-56.4,2.19,0.72,-0.24,248.0,0.9,0.89,-0.28,8.9,1.0,6018.0,190.0,-211.0,4.485,0.056,-0.224,0.975,0.318,-0.106,285.94116,44.994148,15.499
CANDIDATE,0.982,0,0,0,0,7.1931193,7.97e-05,-7.97e-05,137.2737,0.0102,-0.0102,0.296,0.162,-0.296,2.935,0.213,-0.213,126.0,13.3,-13.3,1.12,0.15,-0.11,916.0,166.3,60.02,-39.02,10.7,2.0,5518.0,74.0,-83.0,4.4,0.1,-0.1,1.008,0.137,-0.099,294.00946,42.880772,14.834
FALSE POSITIVE,0.0,0,1,0,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8080.0,12.8,-12.8,33.46,8.5,-2.83,1395.0,891.96,668.95,-230.35,505.6,1.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
FALSE POSITIVE,,1,0,0,0,588.10504,0.0291,-0.0291,289.5538,0.0244,-0.0244,0.3168,0.1449,-0.3167,15.474,0.933,-0.933,327.0,36.7,-36.7,1.77,0.7,-0.19,231.0,0.67,0.78,-0.2,11.0,1.0,6214.0,166.0,-197.0,4.457,0.061,-0.286,0.965,0.383,-0.1,290.47375,41.627548,14.514
CANDIDATE,0.988,0,0,0,0,19.94752741,7.98e-05,-7.98e-05,144.2469,0.00351,-0.00351,0.094,0.357,-0.094,1.756,0.121,-0.121,861.0,65.5,-65.5,2.52,0.57,-0.2,625.0,36.14,24.06,-9.0,16.0,1.0,5749.0,153.0,-170.0,4.547,0.04,-0.16,0.864,0.194,-0.069,288.95551,44.7057,15.999
CANDIDATE,,0,0,0,0,384.0257068,,,335.816169,,,,,,14.56,,,,,,,,,,,,,,,,,,,,,,,,292.1199,42.931679,15.206
FALSE POSITIVE,0.0,0,1,1,1,1.332568744,6.49e-06,-6.49e-06,132.04697,0.00447,-0.00447,0.751,0.182,-0.512,3.755,0.142,-0.142,24.1,1.0,-1.0,0.58,0.12,-0.07,1941.0,3346.25,2014.14,-1041.87,29.1,1.0,6620.0,148.0,-214.0,4.411,0.063,-0.147,1.081,0.228,-0.123,295.19992,46.814621,11.834
FALSE POSITIVE,0.106,1,0,0,0,539.214259,0.00988,-0.00988,439.5039,0.0133,-0.0133,0.001,0.438,-0.001,3.464,0.407,-0.407,301.0,47.1,-47.1,2.04,0.68,-0.28,265.0,1.17,1.09,-0.42,7.8,1.0,6469.0,155.0,-214.0,4.359,0.072,-0.203,1.171,0.384,-0.165,296.98615,40.67511,13.803
FALSE POSITIVE,,1,0,0,0,396.349253,0.00732,-0.00732,272.6416,0.0142,-0.0142,0.0384,0.5094,-0.0383,2.685,0.604,-0.604,413.0,99.6,-99.6,2.39,1.3,-0.27,293.0,1.73,2.89,-0.55,5.7,1.0,6495.0,188.0,-233.0,4.379,0.064,-0.309,1.168,0.634,-0.133,289.33835,40.62534,14.795
FALSE POSITIVE,0.0,0,1,0,0,3.539631353,1.19e-06,-1.19e-06,132.774997,0.000287,-0.000287,1.091,0.157,-0.095,1.5372,0.0138,-0.0138,1230.0,7.3,-7.3,39.34,6.08,-14.2,2214.0,5689.3,2860.44,-3689.15,163.5,1.0,7021.0,214.0,-262.0,3.759,0.304,-0.076,2.629,0.406,-0.947,290.43008,51.271549,12.305
FALSE POSITIVE,0.0,0,1,1,0,24.3282251,0.000177,-0.000177,141.05149,0.00571,-0.00571,4.426,5.103,-0.096,6.158,0.242,-0.242,1120.0,50.2,-50.2,294.02,46.0,-24.9,520.0,17.33,8.77,-4.47,26.4,1.0,5286.0,159.0,-159.0,4.59,0.032,-0.104,0.78,0.122,-0.066,296.99191,40.758911,15.952
CANDIDATE,0.189,0,0,0,0,376.37989,0.0468,-0.0468,486.6022,0.0711,-0.0711,0.305,0.208,-0.305,13.99,2.2,-2.2,1140.0,106.0,-106.0,3.26,1.0,-0.33,265.0,1.16,1.07,-0.35,13.3,1.0,6231.0,188.0,-225.0,4.488,0.054,-0.216,0.955,0.291,-0.097,291.60455,46.973289,15.632
FALSE POSITIVE,0.926,0,1,0,0,5.910371418,7.05e-07,-7.05e-07,360.2852478,8.39e-05,-8.39e-05,0.065,0.063,-0.044,3.88962,0.00306,-0.00306,17200.0,19.3,-19.3,12.62,3.84,-1.28,1053.0,290.83,270.46,-91.57,990.3,1.0,6200.0,200.0,-250.0,4.488,0.05,-0.2,0.958,0.291,-0.097,293.83688,40.41045,15.169
FALSE POSITIVE,0.003,0,0,1,0,17.6604653,0.00024,-0.00024,137.3914,0.012,-0.012,0.689,0.285,-0.484,2.837,0.363,-0.363,309.0,34.6,-34.6,1.76,0.5,-0.17,690.0,53.57,44.74,-15.13,11.3,1.0,5910.0,158.0,-193.0,4.505,0.048,-0.192,0.94,0.268,-0.089,293.05508,47.606739,15.768
FALSE POSITIVE,0.0,1,0,0,0,0.98376204,1.5e-05,-1.5e-05,132.28418,0.00914,-0.00914,1.01,0.08,-0.025,10.052,0.84,-0.84,55.0,5.8,-5.8,12.44,0.69,-6.57,4203.0,73867.88,17596.44,-59464.39,25.2,1.0,6431.0,172.0,-211.0,3.276,0.468,-0.052,5.294,0.294,-2.795,295.08774,38.562061,12.745
CONFIRMED,0.999,0,0,0,0,2.032319072,5.33e-06,-5.33e-06,132.32157,0.00239,-0.00239,0.133,0.332,-0.133,1.6762,0.069,-0.069,316.0,14.9,-14.9,1.87,0.61,-0.2,1542.0,1333.35,1277.72,-427.18,24.5,1.0,6156.0,171.0,-236.0,4.443,0.054,-0.216,1.05,0.341,-0.114,289.18668,50.937561,15.298
CONFIRMED,1.0,0,0,0,0,3.213668926,1.09e-06,-1.09e-06,123.611878,0.000274,-0.000274,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,728.0,2.5,-2.5,4.13,0.26,-0.23,1515.0,1244.44,229.31,-193.94,346.9,1.0,5795.0,69.0,-77.0,4.101,0.033,-0.027,1.545,0.097,-0.087,285.61533,50.13575,12.211
CANDIDATE,0.371,0,0,0,0,254.336707,0.00781,-0.00781,200.5875,0.0161,-0.0161,0.728,0.209,-0.532,8.585,0.69,-0.69,398.0,41.1,-41.1,13.97,0.41,-3.88,586.0,27.88,3.42,-15.24,11.3,1.0,5193.0,76.0,-178.0,3.117,0.033,-0.027,6.502,0.19,-1.807,289.0275,48.13792,13.625
CANDIDATE,0.953,0,0,0,0,4.6318914,0.000115,-0.000115,133.7073,0.0222,-0.0222,0.395,0.076,-0.395,3.88,0.588,-0.588,50.9,6.7,-6.7,0.64,0.19,-0.06,1060.0,297.79,248.69,-82.68,9.2,1.0,5926.0,142.0,-177.0,4.532,0.036,-0.204,0.887,0.259,-0.086,295.50128,45.433979,14.272
FALSE POSITIVE,0.0,0,0,1,0,6.2095391,0.000112,-0.000112,135.2715,0.0127,-0.0127,0.308,0.146,-0.308,2.752,0.447,-0.447,47.9,6.6,-6.6,30.47,8.64,-0.96,4585.0,104479.02,80425.35,-10475.61,8.3,1.0,3861.0,70.0,-40.0,1.06,0.03,-0.03,46.169,13.083,-1.454,292.08344,37.814678,11.989
FALSE POSITIVE,0.0,0,0,1,0,0.584310213,4.46e-07,-4.46e-07,132.013258,0.000637,-0.000637,1.209,1.081,-0.1,2.1801,0.0372,-0.0372,809.0,10.5,-10.5,23.09,7.21,-2.26,2053.0,4190.91,3839.68,-1169.41,91.9,1.0,5783.0,156.0,-173.0,4.539,0.038,-0.212,0.88,0.275,-0.086,298.55576,41.034061,15.361
CONFIRMED,1.0,0,0,0,0,13.0607936,0.000105,-0.000105,137.63148,0.00577,-0.00577,0.718,0.262,-0.49,3.215,0.195,-0.195,237.0,14.1,-14.1,1.45,0.38,-0.13,734.0,68.66,53.04,-17.72,19.4,2.0,5830.0,146.0,-161.0,4.54,0.044,-0.187,0.876,0.234,-0.078,290.72867,37.252651,14.246
CANDIDATE,0.974,0,0,0,0,1.74610057,1.25e-05,-1.25e-05,131.7921,0.0054,-0.0054,0.032,0.443,-0.032,1.299,0.203,-0.203,54.2,7.1,-7.1,1.24,0.79,-0.72,1689.0,1924.75,3897.44,-1618.7,9.2,2.0,4854.0,145.0,-116.0,3.939,0.637,-0.343,1.749,1.119,-1.017,281.45718,46.746471,13.884
CONFIRMED,1.0,0,0,0,0,8.00579096,1.12e-05,-1.12e-05,170.50325,0.00118,-0.00118,0.092,0.329,-0.092,3.0549,0.0421,-0.0421,630.0,10.2,-10.2,2.36,0.55,-0.42,956.0,197.06,137.49,-78.75,69.2,1.0,6032.0,163.0,-181.0,4.395,0.165,-0.182,0.935,0.22,-0.165,294.6467,41.884109,14.209
FALSE POSITIVE,,1,0,0,0,297.113395,0.00646,-0.00646,309.1459,0.0133,-0.0133,0.0322,0.4265,-0.0321,4.529,0.758,-0.758,275.0,36.4,-36.4,5.37,0.98,-2.3,509.0,15.89,8.39,-11.3,10.1,2.0,6626.0,146.0,-201.0,3.676,0.351,-0.111,3.206,0.588,-1.374,282.71991,41.519379,9.666
CONFIRMED,1.0,0,0,0,0,100.8276725,0.000799,-0.000799,216.38757,0.0072,-0.0072,0.676,0.233,-0.451,8.39,0.18,-0.18,1780.0,49.8,-49.8,4.35,0.43,-0.57,364.0,4.16,1.18,-1.19,36.7,2.0,5301.0,85.0,-74.0,4.391,0.13,-0.07,0.977,0.096,-0.128,284.29694,49.15868,15.28
FALSE POSITIVE,,0,0,0,0,322.544807,0.00691,-0.00691,267.9262,0.0129,-0.0129,0.0183,0.4357,-0.0182,11.236,0.427,-0.427,88.0,7.9,-7.9,0.68,0.18,-0.05,219.0,0.55,0.43,-0.12,12.1,1.0,5359.0,167.0,-134.0,4.611,0.028,-0.157,0.741,0.194,-0.053,296.71918,49.35994,11.697
FALSE POSITIVE,0.0,0,1,0,0,20.8392148,0.00013,-0.00013,133.49781,0.00513,-0.00513,0.894,0.952,-0.285,2.3321,0.0343,-0.0343,178000.0,1230.0,-1230.0,51.9,9.21,-6.71,584.0,27.45,16.77,-9.39,197.6,1.0,5378.0,206.0,-187.0,4.488,0.12,-0.132,0.812,0.144,-0.105,294.96225,46.225609,16.583
CANDIDATE,0.929,0,0,0,0,17.067644,0.000209,-0.000209,145.56929,0.00963,-0.00963,0.106,0.326,-0.106,6.026,0.288,-0.288,262.0,20.3,-20.3,1.62,0.53,-0.17,769.0,82.56,77.41,-24.82,13.5,1.0,6347.0,170.0,-207.0,4.464,0.054,-0.216,0.996,0.319,-0.106,290.88831,51.248169,15.372
FALSE POSITIVE,,1,0,0,0,326.370361,0.00535,-0.00535,190.3324,0.0122,-0.0122,0.4924,0.0634,-0.4247,4.526,0.362,-0.362,569.0,44.0,-44.0,22.6,1.4,-7.19,615.0,33.84,6.64,-20.27,13.7,1.0,5188.0,77.0,-189.0,2.929,0.028,-0.035,9.343,0.579,-2.972,290.84195,42.183128,10.963
FALSE POSITIVE,0.024,0,1,0,0,4.396999852,4.23e-06,-4.23e-06,172.023406,0.000773,-0.000773,0.987,29.18,-0.045,1.875,0.0431,-0.0431,4580.0,88.9,-88.9,13.57,3.91,-2.6,1231.0,543.48,469.74,-232.55,63.3,1.0,5949.0,176.0,-193.0,4.311,0.158,-0.193,1.156,0.333,-0.222,288.16071,40.878891,14.491
CANDIDATE,0.999,0,0,0,0,31.9533679,0.000667,-0.000667,159.6588,0.0181,-0.0181,0.773,0.058,-0.533,8.424,0.486,-0.486,106.0,7.6,-7.6,1.65,0.29,-0.21,725.0,65.15,31.66,-19.85,15.2,2.0,6313.0,113.0,-139.0,4.228,0.084,-0.126,1.467,0.259,-0.188,297.39371,39.829041,12.742
FALSE POSITIVE,0.0,0,0,1,0,0.856895349,1.49e-06,-1.49e-06,133.67521,0.00149,-0.00149,0.554,0.019,-0.478,1.3078,0.0502,-0.0502,82.2,3.1,-3.1,0.82,0.25,-0.07,1881.0,2960.82,2627.85,-788.31,33.1,1.0,6021.0,163.0,-163.0,4.537,0.037,-0.213,0.873,0.264,-0.083,291.07446,37.744389,13.098
CONFIRMED,0.999,0,0,0,0,40.715561,0.00021,-0.00021,146.36485,0.00408,-0.00408,0.008,0.407,-0.008,6.894,0.131,-0.131,681.0,25.2,-25.2,2.7,0.84,-0.28,578.0,26.34,23.94,-8.05,28.9,1.0,6297.0,169.0,-225.0,4.448,0.052,-0.208,1.031,0.32,-0.107,297.9516,46.264721,15.083
FALSE POSITIVE,0.0,1,0,0,0,0.71957289,,,131.98038,,,,,,1.79,,,,,,,,,,145.63,128.69,-61.53,,1.0,,,,,,,,,,289.73761,49.858589,12.902
FALSE POSITIVE,0.0,0,1,0,0,1.21374744,2.2e-08,-2.2e-08,131.7423095,1.51e-05,-1.51e-05,0.831,0.006,-0.006,5.79293,0.00102,-0.00102,185000.0,25.4,-25.4,96.19,29.2,-23.9,2441.0,8380.25,7520.82,-4336.22,8755.2,1.0,6791.0,189.0,-260.0,4.137,0.185,-0.185,1.619,0.492,-0.403,283.8663,47.228271,10.811
CANDIDATE,,0,0,0,0,549.42772,0.0115,-0.0115,132.9476,0.0186,-0.0186,0.4315,0.0452,-0.4184,6.09,0.971,-0.971,719.0,80.8,-80.8,2.64,1.03,-0.21,223.0,0.58,0.67,-0.15,12.1,1.0,5957.0,152.0,-192.0,4.498,0.036,-0.281,0.971,0.377,-0.079,290.84729,43.962742,14.654
FALSE POSITIVE,0.0,0,1,1,0,2.064900876,1.23e-06,-1.23e-06,132.874485,0.000474,-0.000474,1.253,0.063,-0.057,6.8769,0.0299,-0.0299,10900.0,36.8,-36.8,38.19,10.8,-3.86,1357.0,800.75,660.82,-226.81,364.0,1.0,5714.0,152.0,-169.0,4.501,0.062,-0.188,0.901,0.254,-0.091,298.75574,43.964642,14.597
CONFIRMED,1.0,0,0,0,0,6.61836309,2.53e-05,-2.53e-05,360.36694,0.00263,-0.00263,0.043,0.387,-0.043,3.6813,0.0788,-0.0788,549.0,19.2,-19.2,2.98,0.49,-0.66,1066.0,304.65,134.51,-128.1,31.5,1.0,5529.0,83.0,-66.0,4.19,0.186,-0.108,1.294,0.214,-0.285,294.48438,44.166908,15.59
